# Fecha de creación: 04-12-2024 22:32:42
Equipo_local	Equipo_visita	Desenlace	Ganador
Equipo 6	Equipo 11	Victoria	Equipo 6
Equipo 6	Equipo 12	Victoria	Equipo 6
Equipo 6	Equipo 13	Victoria	Equipo 6
Equipo 6	Equipo 14	Victoria	Equipo 14
Equipo 6	Equipo 15	Victoria	Equipo 15
Equipo 6	Equipo 16	Victoria	Equipo 6
Equipo 6	Equipo 17	Victoria	Equipo 17
Equipo 6	Equipo 18	Victoria	Equipo 6
Equipo 6	Equipo 19	Victoria	Equipo 6
Equipo 7	Equipo 8	Victoria	Equipo 8
Equipo 7	Equipo 9	Victoria	Equipo 7
Equipo 7	Equipo 10	Victoria	Equipo 10
Equipo 7	Equipo 11	Victoria	Equipo 11
Equipo 7	Equipo 12	Victoria	Equipo 7
Equipo 7	Equipo 13	Victoria	Equipo 13
Equipo 7	Equipo 14	Victoria	Equipo 7
Equipo 7	Equipo 15	Victoria	Equipo 15
Equipo 7	Equipo 16	Victoria	Equipo 16
Equipo 7	Equipo 17	Victoria	Equipo 17
Equipo 7	Equipo 18	Victoria	Equipo 18
Equipo 7	Equipo 19	Victoria	Equipo 7
Equipo 8	Equipo 9	Victoria	Equipo 9
Equipo 8	Equipo 10	Victoria	Equipo 10
Equipo 8	Equipo 11	Victoria	Equipo 11
Equipo 8	Equipo 12	Victoria	Equipo 8
Equipo 8	Equipo 13	Victoria	Equipo 8
Equipo 8	Equipo 14	Victoria	Equipo 14
Equipo 8	Equipo 15	Victoria	Equipo 15
Equipo 8	Equipo 16	Victoria	Equipo 8
Equipo 8	Equipo 17	Victoria	Equipo 17
Equipo 8	Equipo 18	Victoria	Equipo 8
Equipo 8	Equipo 19	Victoria	Equipo 8
Equipo 9	Equipo 10	Victoria	Equipo 9
Equipo 9	Equipo 11	Victoria	Equipo 9
Equipo 9	Equipo 12	Victoria	Equipo 9
Equipo 9	Equipo 13	Victoria	Equipo 13
Equipo 9	Equipo 14	Victoria	Equipo 9
Equipo 9	Equipo 15	Victoria	Equipo 15
Equipo 9	Equipo 16	Victoria	Equipo 16
Equipo 9	Equipo 17	Victoria	Equipo 9
Equipo 9	Equipo 18	Victoria	Equipo 18
Equipo 9	Equipo 19	Victoria	Equipo 9
Equipo 10	Equipo 11	Victoria	Equipo 11
Equipo 10	Equipo 12	Victoria	Equipo 12
Equipo 10	Equipo 13	Victoria	Equipo 10
Equipo 10	Equipo 14	Victoria	Equipo 10
Equipo 10	Equipo 15	Victoria	Equipo 10
Equipo 10	Equipo 16	Victoria	Equipo 16
Equipo 10	Equipo 17	Victoria	Equipo 17
Equipo 10	Equipo 18	Victoria	Equipo 18
Equipo 10	Equipo 19	Victoria	Equipo 10
Equipo 11	Equipo 12	Victoria	Equipo 12
Equipo 11	Equipo 13	Victoria	Equipo 13
Equipo 11	Equipo 14	Victoria	Equipo 14
Equipo 11	Equipo 15	Victoria	Equipo 11
Equipo 11	Equipo 16	Empate	---
Equipo 11	Equipo 17	Victoria	Equipo 11
Equipo 11	Equipo 18	Victoria	Equipo 18
Equipo 11	Equipo 19	Victoria	Equipo 11
Equipo 12	Equipo 13	Victoria	Equipo 12
Equipo 12	Equipo 14	Victoria	Equipo 12
Equipo 12	Equipo 15	Victoria	Equipo 12
Equipo 12	Equipo 16	Victoria	Equipo 16
Equipo 12	Equipo 17	Victoria	Equipo 12
Equipo 12	Equipo 18	Victoria	Equipo 12
Equipo 12	Equipo 19	Victoria	Equipo 12
Equipo 13	Equipo 14	Victoria	Equipo 13
Equipo 13	Equipo 15	Victoria	Equipo 15
Equipo 13	Equipo 16	Victoria	Equipo 16
Equipo 13	Equipo 17	Victoria	Equipo 17
Equipo 13	Equipo 18	Victoria	Equipo 13
Equipo 13	Equipo 19	Victoria	Equipo 19
Equipo 14	Equipo 15	Victoria	Equipo 15
Equipo 14	Equipo 16	Victoria	Equipo 14
Equipo 14	Equipo 17	Victoria	Equipo 14
Equipo 14	Equipo 18	Victoria	Equipo 14
Equipo 14	Equipo 19	Victoria	Equipo 14
Equipo 15	Equipo 16	Victoria	Equipo 15
Equipo 15	Equipo 17	Victoria	Equipo 15
Equipo 15	Equipo 18	Victoria	Equipo 18
Equipo 15	Equipo 19	Victoria	Equipo 19
Equipo 16	Equipo 17	Victoria	Equipo 17
Equipo 16	Equipo 18	Victoria	Equipo 16
Equipo 16	Equipo 19	Victoria	Equipo 19
Equipo 17	Equipo 18	Victoria	Equipo 17
Equipo 17	Equipo 19	Victoria	Equipo 17
Equipo 18	Equipo 19	Victoria	Equipo 19
